time,gFx,gFy,gFz,TgF
0.007728076,0.215,0.9513,0.1984,0.995
0.013843884,0.2086,0.9491,0.2145,0.995
0.016481653,0.2064,0.9499,0.2169,0.996
0.019245076,0.2062,0.9496,0.2167,0.996
0.022521807,0.205,0.9501,0.2162,0.996
0.026308769,0.204,0.9511,0.2157,0.996
0.030918,0.2016,0.9521,0.2152,0.997
0.034164615,0.2008,0.9516,0.2157,0.996
0.039011884,0.2016,0.9528,0.2174,0.998
0.044159076,0.202,0.9528,0.2191,0.998
0.046570653,0.2013,0.9521,0.2199,0.998
0.05056023,0.2023,0.9521,0.2201,0.998
0.056314538,0.2033,0.9511,0.2187,0.997
0.060108807,0.2038,0.9508,0.2184,0.997
0.063574269,0.205,0.9501,0.2199,0.997
0.067276538,0.2052,0.9491,0.2218,0.996
0.072843076,0.2077,0.9482,0.2233,0.996
0.076173653,0.2081,0.9479,0.225,0.996
0.079476192,0.2086,0.9482,0.2272,0.997
0.083374192,0.2101,0.9482,0.2316,0.998
0.087746884,0.2096,0.9484,0.2331,0.999
0.092712653,0.2091,0.9486,0.2338,0.999
0.095955192,0.2086,0.9474,0.2353,0.998
0.100086846,0.2081,0.9482,0.2367,0.999
0.104260653,0.2077,0.9489,0.2384,1
0.108306769,0.2081,0.9484,0.2397,1
0.110318423,0.2091,0.9479,0.2409,1
0.112700038,0.2094,0.9482,0.2411,1
0.116439269,0.2091,0.9479,0.2409,1
0.12353773,0.2091,0.9477,0.2402,1
0.127413538,0.2096,0.9469,0.2397,0.999
0.130180615,0.2074,0.9484,0.2406,1
0.133057461,0.2072,0.9477,0.2399,0.999
0.137636807,0.2077,0.9477,0.237,0.999
0.141124423,0.2099,0.9482,0.2362,0.999
0.145123423,0.2116,0.9494,0.2353,1.001
0.149201269,0.2111,0.9504,0.2326,1.001
0.154219115,0.2099,0.9499,0.2309,1
0.157552538,0.2086,0.9491,0.2294,0.999
0.161563038,0.2074,0.9494,0.2274,0.998
0.165730269,0.2077,0.9501,0.2262,0.999
0.169239499,0.2077,0.9516,0.2255,1
0.171328076,0.2062,0.9511,0.2248,0.999
0.173745192,0.2055,0.9513,0.2235,0.999
0.178079153,0.2052,0.9523,0.2216,0.999
0.181897999,0.204,0.9528,0.2194,0.999
0.186106461,0.205,0.9518,0.2196,0.998
0.190417807,0.204,0.9516,0.2194,0.998
0.194489499,0.2035,0.9516,0.2191,0.997
0.198323538,0.2013,0.9528,0.2191,0.998
0.202444615,0.1996,0.9538,0.2204,0.999
0.207175807,0.1991,0.9528,0.2199,0.998
0.210709961,0.1998,0.9545,0.2199,1
0.214749461,0.2001,0.9555,0.2187,1
0.218898846,0.2001,0.9552,0.2172,1
0.223587807,0.1996,0.9552,0.2169,1
0.227747538,0.2006,0.9565,0.2165,1.001
0.231601422,0.2018,0.956,0.2162,1.001
0.235548999,0.2018,0.955,0.2152,1
0.23782823,0.2025,0.954,0.2157,0.999
0.240710076,0.204,0.9523,0.2152,0.997
0.243958192,0.2038,0.9526,0.2152,0.998
0.247511346,0.2038,0.9508,0.2157,0.996
0.251355192,0.2038,0.9499,0.2162,0.995
0.25560973,0.2038,0.9496,0.2167,0.995
0.260256461,0.205,0.9506,0.2169,0.996
0.264230499,0.2035,0.9513,0.2172,0.997
0.26796473,0.2052,0.9508,0.2162,0.996
0.272425961,0.205,0.9506,0.2174,0.996
0.276969115,0.205,0.9516,0.2172,0.997
0.280788115,0.2064,0.9528,0.2184,0.999
0.284477269,0.2069,0.9511,0.2174,0.997
0.288863115,0.2086,0.9499,0.2177,0.997
0.292927307,0.2074,0.9501,0.2169,0.996
0.297005999,0.2072,0.9501,0.2189,0.997
0.300732153,0.206,0.9491,0.2204,0.996
0.305306538,0.2047,0.9494,0.2228,0.996
0.309711076,0.2023,0.9489,0.2245,0.996
0.313233192,0.202,0.9486,0.2257,0.996
0.317376999,0.2016,0.9489,0.226,0.996
0.323447192,0.2011,0.9496,0.2272,0.997
0.327622845,0.1989,0.9499,0.226,0.996
0.330150461,0.2008,0.9501,0.2245,0.997
0.333992961,0.2003,0.9504,0.2233,0.997
0.340223153,0.1998,0.9523,0.2233,0.998
0.342501576,0.2003,0.953,0.224,0.999
0.346437653,0.2003,0.9535,0.2253,1
0.350253615,0.1998,0.9523,0.2274,0.999
0.354243115,0.1991,0.9528,0.2287,1
0.358742153,0.1984,0.9516,0.227,0.998
0.362532307,0.1976,0.9523,0.2277,0.999
0.36643823,0.1979,0.9516,0.2274,0.998
0.371545269,0.1959,0.9521,0.2267,0.998
0.374511999,0.1957,0.9521,0.2255,0.998
0.379056499,0.1967,0.9518,0.2248,0.998
0.382878345,0.1979,0.953,0.2262,0.999
0.387477999,0.1981,0.9528,0.225,0.999
0.39168323,0.1998,0.953,0.2243,0.999
0.395570307,0.2016,0.9526,0.2253,0.999
0.399596845,0.202,0.9518,0.2255,0.999
0.404166807,0.2035,0.9543,0.225,1.001
0.408238653,0.2052,0.9547,0.2248,1.002
0.411829345,0.2064,0.9533,0.2248,1.001
0.415423884,0.2086,0.9538,0.224,1.002
0.423196345,0.2096,0.9543,0.2255,1.003
0.427158576,0.2077,0.9535,0.2267,1.002
